reservationId,userId,equipmentId,startTime,endTime,status,hourlyRate,depositAmount,totalCost
1ee9f069-60c1-465b-a60e-2f009f2e39f8,e93cac2a-e52c-403a-97da-24d5d7442e0f,2,2025-12-15T10:30,2025-12-15T10:30,Confirmed,10.0,0.0,0.0
96e5b71a-2604-4429-8f4b-42c0c7f8aabe,2a3ce1d8-ed16-4a58-9002-75e0bacbf2e3,3,2025-12-15T11:30,2025-12-15T11:30,Confirmed,10.0,0.0,0.0
e3f82429-5a15-4389-a896-2ed81431e7f9,72293323-c895-4789-aebd-3bf6b4c21729,4,2025-12-15T10:30,2025-12-15T10:30,Cancelled,10.0,0.0,0.0
5472a453-e8c0-4b94-8bb8-00c11fb3530e,6585d841-291e-408b-9bbe-52fa08853376,5,2025-12-15T10:30,2025-12-15T11:30,Extended,10.0,10.0,10.0
0c299c93-8203-4448-981c-6d1cbe54fee5,e7584314-f0f6-4650-9676-c988a2d658f5,6,2025-12-15T10:30,2025-12-15T11:30,Confirmed,10.0,10.0,10.0
2755da3e-7ddc-49ef-aa85-c1666d2e9ace,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
28a45787-4d56-4100-b63c-7a41ccd632fc,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
5b01491b-8918-4b38-93ae-a95d2831b495,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
1fc73cc9-5a8c-4dbf-8930-7946b04c09fc,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
3ac8d7c1-234d-431e-ac97-7b55354caec5,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
0a0e77b1-71b1-4733-9006-b71f7383a63c,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
03ea13c0-89cb-417d-aa7b-524c1d6d9c81,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
8416f3f8-0189-4ab4-8b89-9cb8e61ef5c6,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
24ce2c29-b5e4-42f5-bf5d-0ae07cb8df11,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
fe571b93-a167-4253-ae5b-f42ba16b9636,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
874d3c32-996d-4b6e-b98c-4a83d3ac7441,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
b34b49c6-261d-44ef-811f-6b090d648624,b39c062d-d59a-47f0-993b-3496acd442a9,20,2026-03-20T11:00,2026-03-20T14:00,Cancelled,10.0,10.0,30.0
